rule_id,required_symptoms_json,optional_symptoms_json,excluded_symptoms_json,age_min,age_max,gender_scope,pregnancy_scope,target_department,target_department_name,alternative_departments_json,default_priority,base_score,requires_review,rule_source,validation_status
RULE-0001,"[""FEVER""]","[""WEIGHT_CHANGE""]",[],16,100,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.8,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0002,"[""NAUSEA""]","[""CONSTIPATION"",""DIZZINESS"",""HEADACHE""]",[],18,100,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.911,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0003,"[""CONSTIPATION"",""DIZZINESS""]","[""WEIGHT_CHANGE""]",[],18,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.862,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0004,"[""DIZZINESS"",""FEVER""]","[""CONSTIPATION""]",[],16,100,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",HIGH,0.837,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0005,"[""NAUSEA""]","[""CONSTIPATION"",""DIZZINESS"",""WEIGHT_CHANGE""]",[],16,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.737,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0006,"[""HEADACHE""]","[""CONSTIPATION"",""DIZZINESS"",""FEVER""]",[],16,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.675,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0007,"[""WEIGHT_CHANGE""]","[""HEADACHE"",""NAUSEA""]",[],18,100,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.733,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0008,"[""NAUSEA""]","[""CONSTIPATION"",""DIZZINESS"",""FEVER""]","[""BLURRED_VISION""]",18,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.655,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0009,"[""NAUSEA""]","[""WEIGHT_CHANGE""]",[],16,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.926,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0010,"[""FEVER""]","[""HEADACHE""]",[],18,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",LOW,0.733,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0011,"[""CONSTIPATION"",""FEVER""]","[""DIZZINESS"",""HEADACHE"",""WEIGHT_CHANGE""]","[""VAGINAL_BLEEDING""]",16,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",LOW,0.784,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0012,"[""FEVER""]","[""HEADACHE"",""WEIGHT_CHANGE""]",[],16,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",LOW,0.752,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0013,"[""DIZZINESS"",""FEVER""]","[""HEADACHE""]",[],16,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.81,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0014,"[""DIZZINESS""]","[""CONSTIPATION"",""NAUSEA""]",[],16,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",HIGH,0.679,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0015,"[""CONSTIPATION""]","[""DIZZINESS"",""HEADACHE""]","[""CHEST_PAIN""]",16,100,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.732,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0016,"[""CONSTIPATION"",""HEADACHE""]","[""NAUSEA""]","[""CHEST_PAIN""]",16,120,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",LOW,0.676,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0017,"[""CONSTIPATION"",""WEIGHT_CHANGE""]","[""HEADACHE"",""NAUSEA""]",[],18,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.927,false,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0018,"[""DIZZINESS"",""HEADACHE""]","[""CONSTIPATION""]","[""LIMB_WEAKNESS""]",16,80,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.686,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
RULE-0019,"[""DIZZINESS""]","[""HEADACHE"",""NAUSEA"",""WEIGHT_CHANGE""]",[],16,100,ALL,ANY,GENERAL,Nội tổng quát,"[""GASTRO"",""NEURO""]",NORMAL,0.905,true,SYNTHETIC_RULE_GENERATOR,SYNTHETIC_UNVALIDATED
