dictionary_id,symptom_code,canonical_name,synonym_vi,no_diacritic_form,body_area,suggested_departments_json,is_red_flag_candidate,negation_example,language,validation_status
SYM-001-01,CHEST_PAIN,Đau ngực,bi tuc nguc,bi tuc nguc,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-001-02,CHEST_PAIN,Đau ngực,ôi nặng ngực,oi nang nguc,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-001-03,CHEST_PAIN,Đau ngực,hay đau vùng ngực,hay dau vung nguc,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-001-04,CHEST_PAIN,Đau ngực,cảm giác ngực bị bóp,cam giac nguc bi bop,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-001-05,CHEST_PAIN,Đau ngực,dau nguc may hom nay,dau nguc may hom nay,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-001-06,CHEST_PAIN,Đau ngực,tức ngực nh,tuc nguc nh,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-001-07,CHEST_PAIN,Đau ngực,nặng ngực nhiều,nang nguc nhieu,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-001-08,CHEST_PAIN,Đau ngực,đau vùng ngực liên tục,dau vung nguc lien tuc,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-001-09,CHEST_PAIN,Đau ngực,nguc bi bop tung luc,nguc bi bop tung luc,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-001-10,CHEST_PAIN,Đau ngực,đau nực,dau nuc,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-001-11,CHEST_PAIN,Đau ngực,tức ngực,tuc nguc,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-001-12,CHEST_PAIN,Đau ngực,tôi nặng ngực,toi nang nguc,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-001-13,CHEST_PAIN,Đau ngực,hay dau vung nguc,hay dau vung nguc,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-001-14,CHEST_PAIN,Đau ngực,cảm igác ngực bị bóp,cam igac nguc bi bop,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
SYM-001-15,CHEST_PAIN,Đau ngực,đau ngực mấy hôm nay,dau nguc may hom nay,CHEST,"[""CARD"",""ER""]",true,không đau ngực,vi,SYNTHETIC_UNVALIDATED
