capability_id,department_code,department_name,symptom_code,canonical_symptom_name,keyword_variant,service_type,body_area,age_min,age_max,gender_scope,pregnancy_scope,default_priority,can_receive_direct,requires_referral,is_active,validation_status
CAP-0001,CARD,Tim mạch,CHEST_PAIN,Đau ngực,bi tuc nguc,Đánh giá tuần hoàn,CHEST,16,120,ALL,ANY,NORMAL,true,false,true,SYNTHETIC_UNVALIDATED
CAP-0002,CARD,Tim mạch,CHEST_PAIN,Đau ngực,ôi nặng ngực,Đánh giá tuần hoàn,CHEST,16,120,ALL,ANY,HIGH,true,false,true,SYNTHETIC_UNVALIDATED
CAP-0003,ER,Cấp cứu,CHEST_PAIN,Đau ngực,hay đau vùng ngực,Phân loại khẩn cấp,CHEST,0,120,ALL,ANY,EMERGENCY,true,false,true,SYNTHETIC_UNVALIDATED
CAP-0004,CARD,Tim mạch,CHEST_PAIN,Đau ngực,cảm giác ngực bị bóp,Khám tim mạch,CHEST,16,120,ALL,ANY,HIGH,true,false,true,SYNTHETIC_UNVALIDATED
CAP-0005,ER,Cấp cứu,CHEST_PAIN,Đau ngực,dau nguc may hom nay,Phân loại khẩn cấp,CHEST,0,120,ALL,ANY,EMERGENCY,true,false,true,SYNTHETIC_UNVALIDATED
CAP-0006,ER,Cấp cứu,CHEST_PAIN,Đau ngực,tức ngực nh,Phân loại khẩn cấp,CHEST,0,120,ALL,ANY,EMERGENCY,true,false,true,SYNTHETIC_UNVALIDATED
CAP-0007,ER,Cấp cứu,CHEST_PAIN,Đau ngực,nặng ngực nhiều,Đánh giá cấp cứu,CHEST,0,120,ALL,ANY,EMERGENCY,true,false,true,SYNTHETIC_UNVALIDATED
CAP-0008,CARD,Tim mạch,CHEST_PAIN,Đau ngực,đau vùng ngực liên tục,Khám tim mạch,CHEST,16,120,ALL,ANY,LOW,true,false,true,SYNTHETIC_UNVALIDATED
CAP-0009,CARD,Tim mạch,CHEST_PAIN,Đau ngực,nguc bi bop tung luc,Khám tim mạch,CHEST,16,120,ALL,ANY,LOW,true,false,true,SYNTHETIC_UNVALIDATED
CAP-0010,CARD,Tim mạch,CHEST_PAIN,Đau ngực,đau nực,Đo điện tim,CHEST,16,120,ALL,ANY,NORMAL,true,false,true,SYNTHETIC_UNVALIDATED
CAP-0011,CARD,Tim mạch,CHEST_PAIN,Đau ngực,tức ngực,Khám tim mạch,CHEST,16,120,ALL,ANY,NORMAL,true,false,true,SYNTHETIC_UNVALIDATED
CAP-0012,CARD,Tim mạch,CHEST_PAIN,Đau ngực,tôi nặng ngực,Khám tim mạch,CHEST,16,120,ALL,ANY,NORMAL,true,false,true,SYNTHETIC_UNVALIDATED
CAP-0013,CARD,Tim mạch,CHEST_PAIN,Đau ngực,hay dau vung nguc,Đo điện tim,CHEST,16,120,ALL,ANY,LOW,true,false,true,SYNTHETIC_UNVALIDATED
CAP-0014,CARD,Tim mạch,CHEST_PAIN,Đau ngực,cảm igác ngực bị bóp,Đo điện tim,CHEST,16,120,ALL,ANY,NORMAL,true,false,true,SYNTHETIC_UNVALIDATED
CAP-0015,CARD,Tim mạch,CHEST_PAIN,Đau ngực,đau ngực mấy hôm nay,Khám tim mạch,CHEST,16,120,ALL,ANY,NORMAL,true,false,true,SYNTHETIC_UNVALIDATED
CAP-0016,ER,Cấp cứu,CHEST_PAIN,Đau ngực,tức ngực nhẹ,Hồi sức ban đầu,CHEST,0,120,ALL,ANY,EMERGENCY,true,false,true,SYNTHETIC_UNVALIDATED
CAP-0017,ER,Cấp cứu,CHEST_PAIN,Đau ngực,nang nguc nhieu,Phân loại khẩn cấp,CHEST,0,120,ALL,ANY,EMERGENCY,true,false,true,SYNTHETIC_UNVALIDATED
CAP-0018,CARD,Tim mạch,CHEST_PAIN,Đau ngực,đau vùg ngực liên tục,Khám tim mạch,CHEST,16,120,ALL,ANY,LOW,true,false,true,SYNTHETIC_UNVALIDATED
